time (s), delta (m), mass (kg), vol (m3), Tsurf (k), Tcore (k), MLR(kg/m3/s)
404,0.0117581,12.1326,0.011758,878.641,371.237,0.399035
405,0.0117569,12.1232,0.0117569,878.721,371.596,0.397829
406,0.0117558,12.1139,0.0117558,878.801,371.959,0.396601
407,0.0117547,12.1046,0.0117547,878.88,372.327,0.395352
408,0.0117537,12.0953,0.0117536,878.959,372.701,0.39408
409,0.0117526,12.086,0.0117525,879.038,373.079,0.392785
410,0.0117515,12.0768,0.0117515,879.116,373.464,0.391467
411,0.0117505,12.0677,0.0117504,879.195,373.854,0.390125
412,0.0117495,12.0585,0.0117494,879.238,374.254,0.389659
413,0.0117485,12.0493,0.0117484,879.315,374.657,0.388059
414,0.0117475,12.0402,0.0117474,879.389,375.065,0.386566
415,0.0117465,12.0312,0.0117465,879.464,375.479,0.385086
416,0.0117456,12.0222,0.0117455,879.54,375.9,0.383592
417,0.0117446,12.0132,0.0117446,879.617,376.327,0.382075
418,0.0117437,12.0042,0.0117436,879.694,376.761,0.380532
419,0.0117428,11.9953,0.0117427,879.771,377.202,0.378961
420,0.0117419,11.9864,0.0117418,879.847,377.651,0.377363
421,0.011741,11.9776,0.011741,879.924,378.107,0.375737
422,0.0117401,11.9688,0.0117401,880.001,378.57,0.374081
423,0.0117393,11.9601,0.0117393,880.077,379.042,0.372398
424,0.0117385,11.9513,0.0117384,880.153,379.521,0.370685
425,0.0117377,11.9427,0.0117376,880.229,380.009,0.368943
426,0.0117369,11.934,0.0117369,880.305,380.505,0.367171
427,0.0117362,11.9254,0.0117361,880.38,381.01,0.365372
428,0.0117354,11.9169,0.0117354,880.455,381.524,0.363544
429,0.0117347,11.9084,0.0117347,880.53,382.047,0.361687
430,0.011734,11.8999,0.011734,880.604,382.58,0.359803
431,0.0117333,11.8915,0.0117333,880.679,383.122,0.357892
432,0.0117327,11.8831,0.0117326,880.753,383.673,0.355955
433,0.011732,11.8748,0.011732,880.827,384.235,0.353994
